code,name,population
04581,宮城県 女川町,"6,334"
04606,宮城県 南三陸町,"12,370"
05201,秋田県 秋田市,"315,814"
05202,秋田県 能代市,"54,730"
05203,秋田県 横手市,"92,197"
05204,秋田県 大館市,"74,175"
05206,秋田県 男鹿市,"28,375"
05207,秋田県 湯沢市,"46,613"
05209,秋田県 鹿角市,"32,038"
05210,秋田県 由利本荘市,"79,927"
05211,秋田県 潟上市,"33,083"
05212,秋田県 大仙市,"82,783"
05213,秋田県 北秋田市,"33,224"
05214,秋田県 にかほ市,"25,324"
05215,秋田県 仙北市,"27,523"
05303,秋田県 小坂町,"5,339"
05327,秋田県 上小阿仁村,"2,381"
05346,秋田県 藤里町,"3,359"
05348,秋田県 三種町,"17,078"
05349,秋田県 八峰町,"7,309"
05361,秋田県 五城目町,"9,463"
05363,秋田県 八郎潟町,"6,080"
05366,秋田県 井川町,"4,986"
05368,秋田県 大潟村,"3,110"
05434,秋田県 美郷町,"20,279"
05463,秋田県 羽後町,"15,319"
05464,秋田県 東成瀬村,"2,610"
06201,山形県 山形市,"253,832"
06202,山形県 米沢市,"85,953"
06203,山形県 鶴岡市,"129,652"
06204,山形県 酒田市,"106,244"
06205,山形県 新庄市,"36,894"
06206,山形県 寒河江市,"41,256"
06207,山形県 上山市,"31,569"
06208,山形県 村山市,"24,684"
06209,山形県 長井市,"27,757"
06210,山形県 天童市,"62,194"
06211,山形県 東根市,"47,768"
06212,山形県 尾花沢市,"16,953"
06213,山形県 南陽市,"32,285"
06301,山形県 山辺町,"14,369"
06302,山形県 中山町,"11,363"
06321,山形県 河北町,"18,952"
06322,山形県 西川町,"5,636"
06323,山形県 朝日町,"7,119"
06324,山形県 大江町,"8,472"
06341,山形県 大石田町,"7,357"
06361,山形県 金山町,"5,829"
06362,山形県 最上町,"8,902"
06363,山形県 舟形町,"5,631"
06364,山形県 真室川町,"8,137"
06365,山形県 大蔵村,"3,412"
06366,山形県 鮭川村,"4,317"
06367,山形県 戸沢村,"4,773"
06381,山形県 高畠町,"23,882"
06382,山形県 川西町,"15,751"
06401,山形県 小国町,"7,868"
06402,山形県 白鷹町,"14,175"
06403,山形県 飯豊町,"7,304"
06426,山形県 三川町,"7,728"
06428,山形県 庄内町,"21,666"
06461,山形県 遊佐町,"14,207"
07201,福島県 福島市,"294,247"
07202,福島県 会津若松市,"124,062"
07203,福島県 郡山市,"335,444"
07204,福島県 いわき市,"350,237"
07205,福島県 白河市,"61,913"
07207,福島県 須賀川市,"77,441"
07208,福島県 喜多方市,"49,377"
07209,福島県 相馬市,"38,556"
07210,福島県 二本松市,"58,162"
07211,福島県 田村市,"38,503"
07212,福島県 南相馬市,"57,797"
07213,福島県 伊達市,"62,400"
07214,福島県 本宮市,"30,924"
07301,福島県 桑折町,"12,271"
07303,福島県 国見町,"9,512"
07308,福島県 川俣町,"14,452"
07322,福島県 大玉村,"8,679"
07342,福島県 鏡石町,"12,486"
07344,福島県 天栄村,"5,611"
07362,福島県 下郷町,"5,800"
07364,福島県 檜枝岐村,615
07367,福島県 只見町,"4,470"
07368,福島県 南会津町,"16,264"
07402,福島県 北塩原村,"2,831"
07405,福島県 西会津町,"6,582"
07407,福島県 磐梯町,"3,579"
07408,福島県 猪苗代町,"15,037"
07421,福島県 会津坂下町,"16,303"
07422,福島県 湯川村,"3,206"
07423,福島県 柳津町,"3,536"
07444,福島県 三島町,"1,668"
07445,福島県 金山町,"2,189"
07446,福島県 昭和村,"1,322"
07447,福島県 会津美里町,"20,913"
07461,福島県 西郷村,"20,322"
07464,福島県 泉崎村,"6,495"
07465,福島県 中島村,"5,001"
07466,福島県 矢吹町,"17,370"
07481,福島県 棚倉町,"14,295"
07482,福島県 矢祭町,"5,950"
07483,福島県 塙町,"9,157"
07484,福島県 鮫川村,"3,577"
07501,福島県 石川町,"15,880"
07502,福島県 玉川村,"6,777"
07503,福島県 平田村,"6,505"
07504,福島県 浅川町,"6,577"
07505,福島県 古殿町,"5,373"
07521,福島県 三春町,"18,304"
07522,福島県 小野町,"10,475"
07541,福島県 広野町,"4,319"
07542,福島県 楢葉町,975
07543,福島県 富岡町,0
07544,福島県 川内村,"2,021"
07545,福島県 大熊町,0
07546,福島県 双葉町,0
07547,福島県 浪江町,0
07548,福島県 葛尾村,18
07561,福島県 新地町,"8,218"
07564,福島県 飯舘村,41
08201,茨城県 水戸市,"270,783"
08202,茨城県 日立市,"185,054"
08203,茨城県 土浦市,"140,804"
08204,茨城県 古河市,"140,946"
08205,茨城県 石岡市,"76,020"
08207,茨城県 結城市,"51,594"
08208,茨城県 龍ケ崎市,"78,342"
08210,茨城県 下妻市,"43,293"
08211,茨城県 常総市,"61,483"
08212,茨城県 常陸太田市,"52,294"
08214,茨城県 高萩市,"29,638"
08215,茨城県 北茨城市,"44,412"
08216,茨城県 笠間市,"76,739"
08217,茨城県 取手市,"106,570"
08219,茨城県 牛久市,"84,317"
08220,茨城県 つくば市,"226,963"
08221,茨城県 ひたちなか市,"155,689"
08222,茨城県 鹿嶋市,"67,879"
08223,茨城県 潮来市,"29,111"
08224,茨城県 守谷市,"64,753"
08225,茨城県 常陸大宮市,"42,587"
08226,茨城県 那珂市,"54,276"
08227,茨城県 筑西市,"104,573"
08228,茨城県 坂東市,"54,087"
08229,茨城県 稲敷市,"42,810"
08230,茨城県 かすみがうら市,"42,147"
08231,茨城県 桜川市,"42,632"
08232,茨城県 神栖市,"94,522"
08233,茨城県 行方市,"34,909"
08234,茨城県 鉾田市,"48,147"
08235,茨城県 つくばみらい市,"49,136"
08236,茨城県 小美玉市,"50,911"
08302,茨城県 茨城町,"32,921"
08309,茨城県 大洗町,"16,886"
08310,茨城県 城里町,"19,800"
08341,茨城県 東海村,"37,713"
08364,茨城県 大子町,"18,053"
08442,茨城県 美浦村,"15,842"
08443,茨城県 阿見町,"47,535"
08447,茨城県 河内町,"9,168"
08521,茨城県 八千代町,"22,021"
08542,茨城県 五霞町,"8,786"
08546,茨城県 境町,"24,517"
08564,茨城県 利根町,"16,313"
09201,栃木県 宇都宮市,"518,594"
09202,栃木県 足利市,"149,452"
09203,栃木県 栃木市,"159,211"
09204,栃木県 佐野市,"118,919"
09205,栃木県 鹿沼市,"98,374"
09206,栃木県 日光市,"83,386"
09208,栃木県 小山市,"166,760"
09209,栃木県 真岡市,"79,539"
09210,栃木県 大田原市,"75,457"
09211,栃木県 矢板市,"33,354"
09213,栃木県 那須塩原市,"117,146"
09214,栃木県 さくら市,"44,901"
09215,栃木県 那須烏山市,"27,047"
09216,栃木県 下野市,"59,431"
09301,栃木県 上三川町,"31,046"
09342,栃木県 益子町,"23,281"
09343,栃木県 茂木町,"13,188"
09344,栃木県 市貝町,"11,720"
09345,栃木県 芳賀町,"15,189"
09361,栃木県 壬生町,"39,951"
09364,栃木県 野木町,"25,292"
09384,栃木県 塩谷町,"11,495"
09386,栃木県 高根沢町,"29,639"
09407,栃木県 那須町,"24,919"
09411,栃木県 那珂川町,"16,964"
10201,群馬県 前橋市,"336,154"
10202,群馬県 高崎市,"370,884"
10203,群馬県 桐生市,"114,714"
10204,群馬県 伊勢崎市,"208,814"
10205,群馬県 太田市,"219,807"
10206,群馬県 沼田市,"48,676"
10207,群馬県 館林市,"76,667"
10208,群馬県 渋川市,"78,391"
10209,群馬県 藤岡市,"65,708"
10210,群馬県 富岡市,"49,746"
10211,群馬県 安中市,"58,531"
10212,群馬県 みどり市,"50,906"
10344,群馬県 榛東村,"14,329"
10345,群馬県 吉岡町,"21,080"
10366,群馬県 上野村,"1,230"
10367,群馬県 神流町,"1,954"
10382,群馬県 下仁田町,"7,564"
10383,群馬県 南牧村,"1,979"
10384,群馬県 甘楽町,"13,200"
10421,群馬県 中之条町,"16,850"
10424,群馬県 長野原町,"5,536"
10425,群馬県 嬬恋村,"9,780"
10426,群馬県 草津町,"6,518"
